,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene:GSBRNA2T00127587001_BnaC04g38140D,6.789084328,1.627600924,0.820801404,1.982941202,0.047373998,NA
gene:GSBRNA2T00010930001_BnaC04g55740D,6.791341413,1.627478144,0.827063261,1.967779515,0.049093412,NA
gene:GSBRNA2T00026353001_BnaC01g38180D,16.91657437,1.624774818,0.578576721,2.808227082,0.004981509,0.241035267
gene:GSBRNA2T00117048001_BnaA05g07660D,41.24382311,1.618601244,0.387551471,4.176480712,2.96E-05,0.005185403
gene:GSBRNA2T00034857001_BnaA06g12230D,9.515339599,1.61714183,0.797228364,2.028454961,0.042513836,NA
gene:GSBRNA2T00147016001_BnaC06g09080D,321.9351117,1.60773986,0.190107588,8.456999948,2.74E-17,1.40E-12
gene:GSBRNA2T00049921001_BnaC06g13270D,17.87792171,1.589005969,0.699472965,2.27171892,0.023103493,0.632027268
gene:GSBRNA2T00020948001_BnaA05g36230D,216.4403223,1.588228539,0.221522809,7.169593703,7.52E-13,4.81E-09
gene:GSBRNA2T00106869001_BnaA03g45690D,13.17051047,1.575534794,0.674055767,2.33739532,0.019418638,0.572089191
gene:GSBRNA2T00136968001_BnaC08g36080D,23.79876559,1.57446257,0.462781093,3.40217566,0.000668517,0.059983526
gene:GSBRNA2T00027013001_BnaA05g30370D,33.62477773,1.571037513,0.465307663,3.376341373,0.000734567,0.064095865
gene:GSBRNA2T00147022001_BnaC06g09110D,146.1728904,1.568768479,0.231451382,6.777961158,1.22E-11,4.16E-08
gene:GSBRNA2T00104769001_BnaA05g25220D,27.55875427,1.56736902,0.459163552,3.413531004,0.000641269,0.059348674
gene:GSBRNA2T00048186001_BnaA03g56430D,34.21047596,1.565615046,0.47059238,3.326902669,0.00087817,0.074114104
gene:GSBRNA2T00050352001_BnaA04g16560D,51.78205932,1.565588169,0.335720375,4.663369538,3.11E-06,0.000820079
gene:GSBRNA2T00155366001_BnaC04g45160D,24.97882015,1.565264596,0.487006522,3.214052635,0.001308757,0.099163049
gene:GSBRNA2T00048742001_BnaC01g14690D,53.15279001,1.560744719,0.340195799,4.58778364,4.48E-06,0.001117625
gene:GSBRNA2T00011506001_BnaAnng12900D,18.7955111,1.554390176,0.646241673,2.405276915,0.016160215,0.505194405
gene:GSBRNA2T00028217001_BnaA05g26290D,17.0801755,1.551543432,0.635097451,2.443000565,0.014565714,0.475094962
gene:GSBRNA2T00130343001_BnaC01g07820D,10.31764367,1.543992019,0.786061432,1.964212918,0.049505405,NA
gene:GSBRNA2T00151583001_BnaA03g25450D,9.720949405,1.53668765,0.731704879,2.100146786,0.035715931,NA
gene:GSBRNA2T00003370001_BnaA04g27070D,81.3546695,1.529955483,0.287684131,5.318178232,1.05E-07,5.36E-05
gene:GSBRNA2T00135573001_BnaA10g19130D,33.71864539,1.496595222,0.416226972,3.595622874,0.000323616,0.034625594
gene:GSBRNA2T00090553001_BnaC08g39950D,36.69476001,1.484797625,0.436084117,3.404842247,0.000662023,0.059820666
gene:GSBRNA2T00118828001_BnaC09g25730D,21.91912254,1.471043923,0.48730739,3.018718684,0.002538461,0.157811556
gene:GSBRNA2T00136563001_BnaC08g39510D,54.37692683,1.47045322,0.390294526,3.767547642,0.000164859,0.020366392
gene:GSBRNA2T00000314001_BnaA05g27700D,138.3964254,1.45602461,0.260446697,5.59048982,2.26E-08,1.75E-05
gene:GSBRNA2T00081741001_BnaA06g09660D,30.77100713,1.44909461,0.508450593,2.850020495,0.004371641,0.222160112
gene:GSBRNA2T00059111001_BnaC02g09670D,12.33367897,1.447673458,0.620719897,2.332249161,0.019687587,0.577077276
gene:GSBRNA2T00124782001_BnaA03g18420D,99.60634288,1.434468703,0.312484436,4.590528481,4.42E-06,0.001108434
gene:GSBRNA2T00019961001_BnaCnng31110D,10.48850242,1.430483004,0.717805802,1.99285517,0.046277308,NA
gene:GSBRNA2T00132371001_BnaC03g19370D,77.54233621,1.427068974,0.285013077,5.007029808,5.53E-07,0.000199088
gene:GSBRNA2T00065389001_BnaC02g06610D,10.33458021,1.422661532,0.682421239,2.084726341,0.037094148,NA
gene:GSBRNA2T00102507001_BnaA07g29670D,11.5409406,1.415620503,0.635924403,2.226083001,0.026008622,NA
gene:GSBRNA2T00012796001_BnaC08g14380D,21.08939376,1.413565695,0.700589256,2.017681092,0.043624485,0.826957255
gene:GSBRNA2T00037399001_BnaC03g64670D,37.36094157,1.411990944,0.52000703,2.71533049,0.006620966,0.291664678
gene:GSBRNA2T00099643001_BnaA07g23810D,9.738311377,1.411308374,0.713961472,1.976729037,0.048072267,NA
gene:GSBRNA2T00072666001_BnaA01g12960D,87.89523607,1.409520033,0.273474837,5.154112342,2.55E-07,0.000104853
gene:GSBRNA2T00030025001_BnaAnng17160D,29.03653659,1.409159263,0.455715827,3.092188549,0.001986866,0.132431168
gene:GSBRNA2T00150474001_BnaA10g01020D,140.5161252,1.402441015,0.25906259,5.413521941,6.18E-08,3.53E-05
gene:GSBRNA2T00134515001_BnaC03g03270D,27.68553987,1.402102029,0.453708518,3.090314541,0.001999446,0.132641506
gene:GSBRNA2T00079220001_BnaC03g49470D,21.20117074,1.400457436,0.476990167,2.936029994,0.003324422,0.187872074
gene:GSBRNA2T00153735001_BnaC03g33660D,22.34418595,1.399393664,0.467777484,2.991579782,0.00277538,0.166796755
gene:GSBRNA2T00036504001_BnaA02g18690D,13.24423118,1.398529394,0.672719215,2.078919947,0.037624709,0.78518087
gene:GSBRNA2T00015636001_BnaC03g29870D,13.28403414,1.397862706,0.664976241,2.102124288,0.03554239,0.771709904
gene:GSBRNA2T00074172001_BnaCnng58920D,26.05814342,1.39565777,0.587081317,2.377281869,0.017440755,0.533007144
gene:GSBRNA2T00124776001_BnaA03g18460D,51.85823882,1.380348969,0.356243801,3.874731191,0.000106742,0.014216762
gene:GSBRNA2T00025057001_BnaAnng39980D,17.37378,1.375454119,0.549637972,2.502472878,0.012332907,0.426553311
gene:GSBRNA2T00092105001_BnaA03g57110D,10.77987289,1.374092631,0.673339332,2.040713449,0.041279318,NA
gene:GSBRNA2T00033413001_BnaC09g32980D,139.1931687,1.372237997,0.265620638,5.166157291,2.39E-07,0.000100173
gene:GSBRNA2T00045062001_BnaA04g24740D,14.94713414,1.369315046,0.619148428,2.211610309,0.026993602,0.680414394
gene:GSBRNA2T00066909001_BnaCnng56590D,11.88658418,1.367851048,0.653542478,2.092979559,0.036350979,NA
gene:GSBRNA2T00057616001_BnaA01g27190D,26.73276631,1.367676237,0.447689541,3.0549658,0.002250862,0.144258245
gene:GSBRNA2T00106630001_BnaA03g43840D,11.27581839,1.367627054,0.669282853,2.043421623,0.041010719,NA
gene:GSBRNA2T00051465001_BnaC04g44570D,29.70033507,1.364876203,0.418706179,3.259746981,0.001115116,0.088147628
gene:GSBRNA2T00108997001_BnaC08g25190D,15.44873495,1.362147619,0.562755363,2.420496915,0.015499311,0.496790545
gene:GSBRNA2T00066924001_BnaA05g35900D,599.8823493,1.361676367,0.183188855,7.433183466,1.06E-13,9.04E-10
gene:GSBRNA2T00127842001_BnaC04g39890D,11.71309876,1.348372869,0.671913287,2.006766192,0.044774564,NA
gene:GSBRNA2T00137740001_BnaA03g32520D,38.16158563,1.340794829,0.420170255,3.191075081,0.001417444,0.1052366
gene:GSBRNA2T00104156001_BnaC09g44630D,36.90772319,1.334466161,0.501111443,2.663012748,0.007744448,0.320454733
gene:GSBRNA2T00065642001_BnaA10g11280D,188.5363736,1.333057053,0.276744898,4.816916461,1.46E-06,0.000449185
gene:GSBRNA2T00076195001_BnaA07g07600D,15.17729211,1.326583566,0.592220338,2.2400169,0.025089826,0.658283046
gene:GSBRNA2T00074853001_BnaCnng59310D,22.67490591,1.320804614,0.622710052,2.121058764,0.033916858,0.756722319
gene:GSBRNA2T00048766001_BnaC01g14860D,57.89955183,1.320604641,0.31989543,4.128238536,3.66E-05,0.006089848
gene:GSBRNA2T00151673001_BnaA03g26130D,490.3358006,1.319753056,0.168033712,7.854096903,4.03E-15,6.86E-11
gene:GSBRNA2T00078295001_BnaA09g43500D,35.9759985,1.318187284,0.367596342,3.585964098,0.000335835,0.035783237
gene:GSBRNA2T00091483001_BnaUnng03370D,23.70826844,1.317918232,0.458788556,2.872604852,0.00407103,0.212420653
gene:GSBRNA2T00001386001_BnaA02g05810D,19.73029768,1.316190516,0.52916697,2.487287738,0.012872124,0.435692865
gene:GSBRNA2T00054421001_BnaCnng51060D,23.15738091,1.310466274,0.494574191,2.649685925,0.008056663,0.325731199
gene:GSBRNA2T00048027001_BnaA02g06840D,48.48844831,1.305672064,0.350739875,3.722622257,0.000197164,0.023505304
gene:GSBRNA2T00144292001_BnaA06g29220D,27.69390052,1.304188559,0.416502728,3.131284554,0.001740434,0.12127081
gene:GSBRNA2T00023649001_BnaA03g58530D,351.41362,1.299852292,0.213987507,6.07443074,1.24E-09,1.82E-06
gene:GSBRNA2T00038350001_BnaA09g28020D,11.99257305,1.296840137,0.63133273,2.054131007,0.039963014,NA
gene:GSBRNA2T00066315001_BnaA05g19650D,65.85249371,1.294508391,0.296100192,4.371859342,1.23E-05,0.002603544
gene:GSBRNA2T00109965001_BnaC07g14650D,128.5783098,1.290549186,0.258766649,4.987308795,6.12E-07,0.000214476
gene:GSBRNA2T00058299001_BnaA04g15170D,18.74978939,1.276276175,0.536552681,2.37865958,0.017375714,0.531639696
gene:GSBRNA2T00042421001_BnaC08g48310D,18.05695759,1.27589809,0.580915499,2.196357458,0.028066368,0.69444912
gene:GSBRNA2T00114573001_BnaA04g07790D,12.99794587,1.274239762,0.6264333,2.034118813,0.041939618,0.813409101
gene:GSBRNA2T00130318001_BnaC01g08010D,16.48028842,1.273760952,0.531217252,2.397815482,0.016493171,0.51309413
gene:GSBRNA2T00082945001_BnaA02g17720D,26.02084839,1.270905391,0.495920877,2.562718068,0.010385634,0.384381948
gene:GSBRNA2T00029904001_BnaA10g27780D,85.92562841,1.268363682,0.298956126,4.24264155,2.21E-05,0.004215642
gene:GSBRNA2T00010297001_BnaCnng24710D,18.58197531,1.261316049,0.599054738,2.105510514,0.035246893,0.771029555
gene:GSBRNA2T00096593001_BnaCnng19070D,25.87878851,1.258599915,0.429387003,2.931155129,0.003377041,0.190005923
gene:GSBRNA2T00068642001_BnaC02g42930D,100.5170107,1.25588892,0.264994708,4.739298114,2.14E-06,0.000609352
gene:GSBRNA2T00011138001_BnaC04g52880D,21.96783653,1.252785868,0.49191014,2.546777892,0.010872261,0.395340426
gene:GSBRNA2T00143968001_BnaC03g55460D,11.19210673,1.248576927,0.634626574,1.967419865,0.049134826,NA
gene:GSBRNA2T00122646001_BnaC02g12550D,14.52403918,1.24857113,0.566274827,2.204885454,0.027462133,0.685672711
gene:GSBRNA2T00120019001_BnaC05g45930D,27.78959565,1.243249779,0.591340942,2.102424661,0.035516093,0.771709904
gene:GSBRNA2T00069300001_BnaC04g13990D,25.09569888,1.236875088,0.460256847,2.687358363,0.007201964,0.308232
gene:GSBRNA2T00085431001_BnaC05g01140D,402.1350625,1.235929635,0.196888436,6.277309438,3.44E-10,6.29E-07
gene:GSBRNA2T00100243001_BnaC07g46910D,19.41162948,1.234081768,0.506740061,2.435334926,0.014878011,0.483124453
gene:GSBRNA2T00007444001_BnaAnng11580D,405.9130104,1.23148887,0.246613043,4.993608025,5.93E-07,0.000209026
gene:GSBRNA2T00032264001_BnaCnng02640D,33.9121086,1.230510276,0.383097039,3.212006755,0.001318113,0.0997242
gene:GSBRNA2T00048237001_BnaCnng48700D,19.93914643,1.228556506,0.47894209,2.565146251,0.010313232,0.38305008
gene:GSBRNA2T00130903001_BnaC01g03360D,235.0978001,1.224313418,0.269706664,4.539425909,5.64E-06,0.00138034
gene:GSBRNA2T00142452001_BnaC05g20360D,167.6661211,1.221959325,0.208081064,5.872515734,4.29E-09,5.35E-06
gene:GSBRNA2T00091511001_BnaC07g27590D,14.29396704,1.214776492,0.597024844,2.034716821,0.041879375,0.813294528
gene:GSBRNA2T00151229001_BnaA03g41890D,32.55122512,1.210561012,0.405405308,2.986051215,0.002826053,0.169443914
gene:GSBRNA2T00051702001_BnaA01g17300D,15.94662309,1.209546614,0.533283616,2.268111334,0.023322422,0.633753324
gene:GSBRNA2T00038453001_BnaUnng00260D,74.26513403,1.208441515,0.310143058,3.896400331,9.76E-05,0.013244934
gene:GSBRNA2T00075227001_BnaA03g53530D,24.67021887,1.203790139,0.453740887,2.653034309,0.007977176,0.324523384
gene:GSBRNA2T00106034001_BnaC05g39430D,64.02827342,1.20340659,0.290273053,4.145774398,3.39E-05,0.005729564
gene:GSBRNA2T00121396001_BnaA01g02040D,41.59799672,1.201373854,0.361306145,3.325085587,0.000883914,0.074293256
gene:GSBRNA2T00135367001_BnaA10g17500D,15.80054181,1.199897468,0.600200712,1.999160354,0.045591007,0.841227538
gene:GSBRNA2T00072247001_BnaA02g27670D,80.42566076,1.197318624,0.285104511,4.199577969,2.67E-05,0.004846196
gene:GSBRNA2T00016665001_BnaC08g49670D,17.39090767,1.195629191,0.541292873,2.208839707,0.027185792,0.682761714
gene:GSBRNA2T00151674001_BnaA03g26140D,570.5102431,1.194998526,0.167615104,7.129420285,1.01E-12,5.73E-09
gene:GSBRNA2T00031453001_BnaC07g33070D,22.95620763,1.192802378,0.47179958,2.528197203,0.011464993,0.410045892
gene:GSBRNA2T00149121001_BnaA04g01790D,21.18746277,1.192046407,0.523153074,2.278580528,0.022692013,0.628008814
gene:GSBRNA2T00108995001_BnaC08g25210D,660.2168976,1.186754272,0.189927137,6.248471338,4.14E-10,7.31E-07
gene:GSBRNA2T00058613001_BnaA05g16340D,16.22402951,1.184832561,0.559548218,2.117480713,0.03421907,0.760098858
gene:GSBRNA2T00104822001_BnaA05g24750D,33.05366802,1.184557206,0.559921888,2.115575819,0.0343809,0.761861682
gene:GSBRNA2T00128432001_BnaA07g06750D,54.21097932,1.183393742,0.367775725,3.217704871,0.001292207,0.098277261
gene:GSBRNA2T00087183001_BnaCnng14680D,38.6207096,1.182879521,0.404386793,2.925119073,0.003443244,0.192915243
gene:GSBRNA2T00054639001_BnaC09g53530D,81.51581318,1.18208914,0.263086218,4.493162548,7.02E-06,0.001653888
gene:GSBRNA2T00085171001_BnaC03g44170D,48.88976603,1.181904243,0.364868268,3.239262899,0.001198391,0.092723884
gene:GSBRNA2T00070954001_BnaA09g17100D,23.34693006,1.180067629,0.455965003,2.588066236,0.009651642,0.365918144
gene:GSBRNA2T00112295001_BnaA07g11060D,30.68000766,1.179843216,0.482912823,2.443180549,0.014558452,0.475094962
gene:GSBRNA2T00126716001_BnaA08g10610D,129.0603051,1.178636431,0.216889349,5.434275291,5.50E-08,3.39E-05
gene:GSBRNA2T00016155001_BnaA09g44200D,17.29247054,1.175159494,0.584594771,2.010212119,0.044408743,0.832259643
gene:GSBRNA2T00005552001_BnaA01g26690D,268.0413182,1.169834565,0.196776123,5.945002605,2.76E-09,3.82E-06
gene:GSBRNA2T00090153001_BnaC02g34410D,30.58159321,1.165581886,0.411793553,2.830500571,0.004647523,0.231895519
gene:GSBRNA2T00003508001_BnaC09g35920D,75.79440678,1.164052411,0.329956617,3.527895335,0.000418878,0.042171424
gene:GSBRNA2T00155048001_BnaA03g38510D,20.41153938,1.159603289,0.480720051,2.412221598,0.015855641,0.501012066
gene:GSBRNA2T00092726001_BnaA07g01650D,18.68364197,1.156476224,0.522109691,2.215006242,0.026759636,0.677471902
gene:GSBRNA2T00157099001_BnaC07g38030D,40.73793345,1.153790535,0.3582264,3.220841725,0.001278147,0.097712343
gene:GSBRNA2T00042474001_BnaA03g57010D,146.9906404,1.152277402,0.287708729,4.005013702,6.20E-05,0.009140168
gene:GSBRNA2T00049245001_BnaA03g00600D,43.60120687,1.147965906,0.388561492,2.954399571,0.003132781,0.180634669
gene:GSBRNA2T00123404001_BnaA04g22400D,31.97023244,1.146290722,0.379898951,3.017356903,0.002549894,0.157889342
